station,aos,los,duration,angle
Fairbanks,06/13/2024 03:49:25,06/13/2024 03:50:51,86.109,10
Troll,06/13/2024 06:15:24,06/13/2024 06:17:58,154.011,-20
Troll,06/13/2024 07:53:33,06/13/2024 07:56:03,150.636,20
Troll,06/13/2024 07:53:46,06/13/2024 07:55:48,122.38,10
Troll,06/13/2024 07:54:14,06/13/2024 07:55:19,65.547,0
Troll,06/13/2024 09:31:40,06/13/2024 09:32:47,67.327,20
Punta Arenas,06/13/2024 11:17:38,06/13/2024 11:20:03,145.461,20
Punta Arenas,06/13/2024 11:17:46,06/13/2024 11:19:51,125.276,10
Punta Arenas,06/13/2024 11:18:06,06/13/2024 11:19:29,82.509,0
Troll,06/13/2024 14:22:16,06/13/2024 14:24:48,152.642,20
Troll,06/13/2024 14:22:53,06/13/2024 14:24:13,80.192,10
Fairbanks,06/13/2024 15:08:29,06/13/2024 15:10:33,124.253,20
Troll,06/13/2024 16:00:21,06/13/2024 16:02:31,129.933,-10
Troll,06/13/2024 16:00:23,06/13/2024 16:02:30,127.109,-20
Troll,06/13/2024 16:01:49,06/13/2024 16:02:22,33.743,0
Svalbard,06/13/2024 16:57:51,06/13/2024 16:59:52,121.287,20
Svalbard,06/13/2024 18:36:57,06/13/2024 18:37:54,56.445,-10
Punta Arenas,06/13/2024 20:52:31,06/13/2024 20:54:51,140.459,20
Svalbard,06/14/2024 02:46:17,06/14/2024 02:47:38,81.126,0
Svalbard,06/14/2024 04:24:58,06/14/2024 04:26:17,79.09,20
Fairbanks,06/14/2024 04:34:45,06/14/2024 04:34:57,12.289,-20
Fairbanks,06/14/2024 04:36:11,06/14/2024 04:36:15,3.177,-20
Troll,06/14/2024 07:01:01,06/14/2024 07:03:04,123.362,0
Troll,06/14/2024 07:01:02,06/14/2024 07:03:02,119.205,-10
Troll,06/14/2024 07:01:13,06/14/2024 07:02:50,96.3,-20
Troll,06/14/2024 07:01:35,06/14/2024 07:02:58,83.124,10
Troll,06/14/2024 08:38:36,06/14/2024 08:41:01,144.202,20
Troll,06/14/2024 13:30:13,06/14/2024 13:31:56,102.59,20
Fairbanks,06/14/2024 14:15:43,06/14/2024 14:16:18,34.524,-10
Fairbanks,06/14/2024 14:15:59,06/14/2024 14:17:11,71.641,-20
Troll,06/14/2024 15:07:31,06/14/2024 15:09:41,130.051,10
Troll,06/14/2024 15:07:36,06/14/2024 15:09:46,130.141,20
Troll,06/14/2024 15:07:46,06/14/2024 15:09:27,100.984,0
Troll,06/14/2024 15:08:21,06/14/2024 15:08:54,32.339,-10
Troll,06/14/2024 16:47:43,06/14/2024 16:48:07,23.994,-20
Svalbard,06/14/2024 17:43:36,06/14/2024 17:45:12,95.687,10
Svalbard,06/14/2024 19:22:01,06/14/2024 19:22:53,52.275,-20
Svalbard,06/14/2024 19:23:25,06/14/2024 19:23:26,1.762,-20
Punta Arenas,06/14/2024 21:37:50,06/14/2024 21:39:51,121.262,-10
Punta Arenas,06/14/2024 21:37:59,06/14/2024 21:39:44,105.505,-20
Punta Arenas,06/14/2024 21:38:49,06/14/2024 21:39:48,59.446,0
Svalbard,06/15/2024 01:53:10,06/15/2024 01:53:25,15.344,-10
Svalbard,06/15/2024 01:53:29,06/15/2024 01:54:33,64.76,-20
Svalbard,06/15/2024 03:31:12,06/15/2024 03:32:08,56.521,20
Svalbard,06/15/2024 03:31:49,06/15/2024 03:33:00,70.655,10
Fairbanks,06/15/2024 03:42:11,06/15/2024 03:42:51,39.682,10
Troll,06/15/2024 06:07:46,06/15/2024 06:10:22,155.495,-20
Troll,06/15/2024 07:46:01,06/15/2024 07:48:28,146.541,20
Troll,06/15/2024 07:46:10,06/15/2024 07:48:17,126.868,10
Troll,06/15/2024 07:46:31,06/15/2024 07:47:55,84.629,0
Troll,06/15/2024 09:24:00,06/15/2024 09:25:25,84.899,20
Punta Arenas,06/15/2024 11:10:11,06/15/2024 11:12:19,128.542,10
Punta Arenas,06/15/2024 11:10:11,06/15/2024 11:12:22,130.363,20
Punta Arenas,06/15/2024 11:10:20,06/15/2024 11:12:08,108.924,0
Punta Arenas,06/15/2024 11:10:41,06/15/2024 11:11:46,65.24,-10
Troll,06/15/2024 14:14:45,06/15/2024 14:17:15,149.723,20
Troll,06/15/2024 14:15:31,06/15/2024 14:16:29,57.955,10
Fairbanks,06/15/2024 15:00:47,06/15/2024 15:02:22,95.384,20
Fairbanks,06/15/2024 15:01:27,06/15/2024 15:02:29,61.86,10
Troll,06/15/2024 15:52:47,06/15/2024 15:54:53,126.548,-10
Troll,06/15/2024 15:52:53,06/15/2024 15:54:48,114.911,-20
Troll,06/15/2024 15:53:26,06/15/2024 15:54:50,83.887,0
Svalbard,06/15/2024 16:50:18,06/15/2024 16:52:08,109.805,20
Svalbard,06/15/2024 18:29:00,06/15/2024 18:29:13,12.603,0
Svalbard,06/15/2024 18:29:34,06/15/2024 18:30:05,31.335,-10
Punta Arenas,06/15/2024 20:45:11,06/15/2024 20:47:08,117.114,20
Svalbard,06/16/2024 02:38:35,06/16/2024 02:39:52,76.975,0
Svalbard,06/16/2024 04:17:09,06/16/2024 04:18:48,98.659,20
Fairbanks,06/16/2024 04:27:26,06/16/2024 04:28:23,57.249,-20
Troll,06/16/2024 06:53:24,06/16/2024 06:55:29,125.227,-10
Troll,06/16/2024 06:53:27,06/16/2024 06:55:28,120.943,0
Troll,06/16/2024 06:53:30,06/16/2024 06:55:22,111.765,-20
Troll,06/16/2024 08:31:02,06/16/2024 08:33:30,148.528,20
Troll,06/16/2024 08:31:50,06/16/2024 08:32:41,50.86,10
Punta Arenas,06/16/2024 11:55:49,06/16/2024 11:56:40,51.12,20
Troll,06/16/2024 13:22:49,06/16/2024 13:24:18,88.716,20
Fairbanks,06/16/2024 14:08:11,06/16/2024 14:09:13,62.023,-20
Troll,06/16/2024 14:59:49,06/16/2024 15:02:15,145.74,20
Troll,06/16/2024 14:59:59,06/16/2024 15:02:07,127.852,10
Troll,06/16/2024 15:00:19,06/16/2024 15:01:47,88.16,0
Troll,06/16/2024 16:39:35,06/16/2024 16:40:31,56.061,-20
Svalbard,06/16/2024 17:36:05,06/16/2024 17:37:28,83.174,10
Svalbard,06/16/2024 19:14:31,06/16/2024 19:15:45,74.532,-20
Punta Arenas,06/16/2024 21:30:12,06/16/2024 21:32:15,122.016,0
Punta Arenas,06/16/2024 21:30:21,06/16/2024 21:32:08,106.588,-10
Punta Arenas,06/16/2024 21:30:41,06/16/2024 21:31:49,67.914,-20
